 Year Mon  Area
 1874  5  365.1
 1874  6  415.2
 1874  7 1033.5
 1874  8  954.1
 1874  9  335.3
 1874 10  515.0
 1874 11  465.4
 1874 12  192.5
 1875  1   89.8
 1875  2  399.2
 1875  3  423.0
 1875  4  393.8
 1875  5  145.4
 1875  6  454.0
 1875  7   76.8
 1875  8  124.2
 1875  9   34.0
 1875 10  132.4
 1875 11  194.0
 1875 12   91.0
 1876  1  167.5
 1876  2  263.6
 1876  3  231.4
 1876  4   15.8
 1876  5   37.3
 1876  6   15.2
 1876  7   67.8
 1876  8   34.7
 1876  9  104.4
 1876 10  155.3
 1876 11   69.1
 1876 12  149.3
 1877  1  188.9
 1877  2   66.2
 1877  3   65.7
 1877  4   93.8
 1877  5   85.5
 1877  6   69.0
 1877  7    4.2
 1877  8   34.9
 1877  9   73.0
 1877 10  126.3
 1877 11  283.5
 1877 12   23.3
 1878  1   14.9
 1878  2   18.1
 1878  3   47.9
 1878  4    0.4
 1878  5   51.5
 1878  6   41.0
 1878  7    0.4
 1878  8    0.0
 1878  9   57.2
 1878 10    9.6
 1878 11   23.6
 1878 12    2.0
 1879  1    1.2
 1879  2    0.0
 1879  3    0.0
 1879  4   50.5
 1879  5    5.8
 1879  6   19.6
 1879  7   51.4
 1879  8   38.5
 1879  9   41.3
 1879 10   81.5
 1879 11  112.4
 1879 12   33.8
 1880  1  292.2
 1880  2  337.6
 1880  3  142.7
 1880  4  232.2
 1880  5  409.0
 1880  6  488.2
 1880  7  206.1
 1880  8  821.3
 1880  9  926.5
 1880 10  561.5
 1880 11  483.1
 1880 12  460.6
 1881  1  585.2
 1881  2  675.9
 1881  3  640.5
 1881  4  530.2
 1881  5  376.9
 1881  6  612.4
 1881  7  941.1
 1881  8  738.0
 1881  9  867.0
 1881 10  705.1
 1881 11  840.4
 1881 12  641.2
 1882  1  364.0
 1882  2  673.1
 1882  3  928.9
 1882  4 1799.1
 1882  5 1519.6
 1882  6  557.8
 1882  7  461.5
 1882  8  607.6
 1882  9 1026.9
 1882 10 1393.8
 1882 11 1931.1
 1882 12  352.9
 1883  1  849.8
 1883  2  734.8
 1883  3  621.2
 1883  4 1132.5
 1883  5  339.4
 1883  6 1451.4
 1883  7 2007.7
 1883  8  595.6
 1883  9 1230.2
 1883 10 1793.3
 1883 11 1725.6
 1883 12 1305.4
 1884  1 1669.7
 1884  2 1536.9
 1884  3 1207.3
 1884  4 1581.2
 1884  5 1210.8
 1884  6  501.6
 1884  7  561.3
 1884  8  727.1
 1884  9 1115.1
 1884 10  994.5
 1884 11  438.0
 1884 12  866.0
 1885  1  512.0
 1885  2 1083.1
 1885  3  747.0
 1885  4  855.4
 1885  5 1059.0
 1885  6 1702.4
 1885  7 1155.4
 1885  8  598.0
 1885  9  646.0
 1885 10  718.5
 1885 11  425.2
 1885 12  220.5
 1886  1  544.5
 1886  2  312.9
 1886  3 1032.2
 1886  4  623.6
 1886  5  688.4
 1886  6  398.1
 1886  7  395.4
 1886  8  115.4
 1886  9  193.6
 1886 10   57.5
 1886 11    1.6
 1886 12  189.7
 1887  1   79.7
 1887  2   75.6
 1887  3   30.5
 1887  4   44.8
 1887  5  252.7
 1887  6  302.1
 1887  7  370.5
 1887  8  162.9
 1887  9  121.8
 1887 10   54.0
 1887 11   52.3
 1887 12  580.2
 1888  1  117.4
 1888  2   91.4
 1888  3   88.2
 1888  4   26.0
 1888  5  185.6
 1888  6   32.5
 1888  7   22.2
 1888  8   65.3
 1888  9   98.7
 1888 10   10.5
 1888 11  240.3
 1888 12   77.0
 1889  1    2.4
 1889  2   27.9
 1889  3   27.8
 1889  4   26.9
 1889  5   14.4
 1889  6  217.2
 1889  7  153.5
 1889  8  282.3
 1889  9   89.9
 1889 10   11.6
 1889 11    0.0
 1889 12   66.4
 1890  1   42.3
 1890  2    1.4
 1890  3   69.5
 1890  4    8.9
 1890  5   21.8
 1890  6    9.3
 1890  7  139.8
 1890  8  157.6
 1890  9  229.0
 1890 10  245.6
 1890 11  181.5
 1890 12   78.5
 1891  1  211.7
 1891  2  266.7
 1891  3  158.7
 1891  4  354.4
 1891  5  553.4
 1891  6  594.5
 1891  7 1021.9
 1891  8  550.7
 1891  9 1301.4
 1891 10  605.3
 1891 11  637.4
 1891 12  541.2
 1892  1 1252.7
 1892  2 1788.1
 1892  3  757.8
 1892  4  994.3
 1892  5 1541.8
 1892  6 1117.7
 1892  7 1920.7
 1892  8 1429.5
 1892  9 1002.7
 1892 10  910.9
 1892 11  953.6
 1892 12  865.5
 1893  1 1158.1
 1893  2 1283.8
 1893  3  962.9
 1893  4 1178.4
 1893  5 1161.8
 1893  6 1379.0
 1893  7 1573.8
 1893  8 2340.8
 1893  9 1644.5
 1893 10 1504.0
 1893 11 1312.7
 1893 12 2027.7
 1894  1 1564.7
 1894  2 1486.2
 1894  3  623.5
 1894  4 1603.6
 1894  5 1779.1
 1894  6 1898.4
 1894  7 1740.6
 1894  8 1164.5
 1894  9  666.2
 1894 10 1227.8
 1894 11  585.4
 1894 12 1038.5
 1895  1  942.0
 1895  2  937.1
 1895  3 1018.0
 1895  4 1074.5
 1895  5  901.8
 1895  6 1143.5
 1895  7  465.2
 1895  8 1376.0
 1895  9  831.7
 1895 10 1231.8
 1895 11  722.5
 1895 12 1037.1
 1896  1  285.0
 1896  2  900.0
 1896  3  543.6
 1896  4  423.5
 1896  5  181.1
 1896  6  820.6
 1896  7  513.4
 1896  8  273.6
 1896  9 1182.6
 1896 10  303.6
 1896 11  608.6
 1896 12  533.1
 1897  1 1331.0
 1897  2  912.6
 1897  3  523.8
 1897  4  384.1
 1897  5  398.3
 1897  6  217.5
 1897  7  308.7
 1897  8  492.7
 1897  9  703.9
 1897 10   82.7
 1897 11   34.2
 1897 12  750.3
 1898  1  411.0
 1898  2  524.0
 1898  3  624.5
 1898  4  159.1
 1898  5  247.5
 1898  6   64.8
 1898  7   48.1
 1898  8  463.8
 1898  9  858.2
 1898 10  605.5
 1898 11  317.4
 1898 12  172.0
 1899  1  215.6
 1899  2   40.1
 1899  3  280.6
 1899  4  143.7
 1899  5   50.7
 1899  6  203.3
 1899  7  197.1
 1899  8    1.4
 1899  9   25.4
 1899 10   74.8
 1899 11   32.9
 1899 12   54.2
 1900  1   56.5
 1900  2  109.9
 1900  3  151.5
 1900  4   97.4
 1900  5  127.6
 1900  6  113.7
 1900  7   51.5
 1900  8   10.7
 1900  9   23.1
 1900 10  138.2
 1900 11   11.6
 1900 12    0.0
 1901  1    0.2
 1901  2    6.4
 1901  3   13.3
 1901  4    0.0
 1901  5  208.5
 1901  6   41.6
 1901  7    1.0
 1901  8    0.0
 1901  9    0.2
 1901 10   14.8
 1901 11   48.3
 1901 12    0.0
 1902  1   98.3
 1902  2    0.4
 1902  3  179.8
 1902  4    0.0
 1902  5   36.1
 1902  6    5.9
 1902  7    0.3
 1902  8    2.4
 1902  9   76.0
 1902 10  161.4
 1902 11  149.6
 1902 12    3.5
 1903  1   30.0
 1903  2  129.9
 1903  3  189.8
 1903  4  336.3
 1903  5   84.1
 1903  6  105.9
 1903  7  277.3
 1903  8  112.8
 1903  9   84.4
 1903 10 1204.7
 1903 11  911.3
 1903 12  596.7
 1904  1  411.7
 1904  2  345.4
 1904  3  375.8
 1904  4  901.3
 1904  5  268.1
 1904  6  330.4
 1904  7  511.3
 1904  8  576.2
 1904  9  254.6
 1904 10  634.9
 1904 11  470.5
 1904 12  777.9
 1905  1 1100.6
 1905  2 1983.4
 1905  3 1297.7
 1905  4  408.4
 1905  5  667.6
 1905  6  651.4
 1905  7 1585.3
 1905  8 1159.5
 1905  9  696.2
 1905 10 2060.5
 1905 11 1946.3
 1905 12  793.7
 1906  1  736.5
 1906  2  395.1
 1906  3 1057.4
 1906  4  687.9
 1906  5 1105.5
 1906  6  749.3
 1906  7 1446.9
 1906  8  738.5
 1906  9  516.3
 1906 10   98.7
 1906 11  560.7
 1906 12 1207.0
 1907  1 1196.7
 1907  2 2453.0
 1907  3  809.0
 1907  4  700.9
 1907  5  608.3
 1907  6  949.4
 1907  7  882.5
 1907  8  824.5
 1907  9 1410.2
 1907 10 1193.4
 1907 11 1074.6
 1907 12 1002.8
 1908  1  507.2
 1908  2  270.4
 1908  3  217.9
 1908  4  707.3
 1908  5  508.7
 1908  6  630.8
 1908  7  350.8
 1908  8 1750.4
 1908  9 1701.4
 1908 10  369.3
 1908 11  717.5
 1908 12  638.1
 1909  1 1192.5
 1909  2  774.4
 1909  3 1026.5
 1909  4  470.9
 1909  5  503.1
 1909  6  282.7
 1909  7  563.5
 1909  8  128.9
 1909  9  801.6
 1909 10  866.9
 1909 11  794.0
 1909 12  893.3
 1910  1  381.8
 1910  2  632.8
 1910  3  287.4
 1910  4   70.0
 1910  5  326.8
 1910  6  118.3
 1910  7  186.5
 1910  8  181.7
 1910  9  434.4
 1910 10  511.7
 1910 11   23.7
 1910 12   37.0
 1911  1   39.3
 1911  2   88.5
 1911  3   70.5
 1911  4  260.0
 1911  5  101.8
 1911  6   30.0
 1911  7   11.5
 1911  8   27.6
 1911  9   53.1
 1911 10   17.9
 1911 11   57.2
 1911 12   15.5
 1912  1    0.0
 1912  2    0.0
 1912  3   57.4
 1912  4   88.2
 1912  5   21.4
 1912  6   84.4
 1912  7    9.5
 1912  8    0.3
 1912  9   47.3
 1912 10   55.0
 1912 11    2.9
 1912 12   81.6
 1913  1   14.8
 1913  2   23.2
 1913  3    0.8
 1913  4    3.3
 1913  5    0.0
 1913  6    0.0
 1913  7    6.8
 1913  8    0.0
 1913  9    3.6
 1913 10   14.8
 1913 11    5.2
 1913 12   17.8
 1914  1   13.0
 1914  2   10.7
 1914  3   38.7
 1914  4  286.8
 1914  5   69.9
 1914  6  172.5
 1914  7   46.7
 1914  8  296.7
 1914  9  344.0
 1914 10   33.1
 1914 11  222.0
 1914 12  294.5
 1915  1  302.5
 1915  2  670.6
 1915  3  483.1
 1915  4  964.9
 1915  5  528.3
 1915  6  969.0
 1915  7 1307.9
 1915  8  946.2
 1915  9  750.0
 1915 10  647.3
 1915 11  444.9
 1915 12  358.5
 1916  1  509.6
 1916  2  712.6
 1916  3  950.9
 1916  4  806.4
 1916  5 1037.8
 1916  6 1156.9
 1916  7  572.5
 1916  8  338.9
 1916  9  466.2
 1916 10  722.0
 1916 11  637.5
 1916 12  794.2
 1917  1 1045.8
 1917  2 1415.4
 1917  3 1152.9
 1917  4  919.7
 1917  5 1445.9
 1917  6 1717.2
 1917  7 1554.0
 1917  8 2977.7
 1917  9 1875.0
 1917 10  978.5
 1917 11 1027.9
 1917 12 2297.1
 1918  1 1797.4
 1918  2  800.4
 1918  3  854.2
 1918  4  979.4
 1918  5  953.3
 1918  6  567.5
 1918  7 1281.5
 1918  8 1805.1
 1918  9  944.4
 1918 10 1229.1
 1918 11 1040.8
 1918 12 1097.7
 1919  1  623.5
 1919  2 1363.4
 1919  3 1190.2
 1919  4  707.5
 1919  5 1651.3
 1919  6 1876.6
 1919  7  902.4
 1919  8 1383.9
 1919  9 1095.4
 1919 10  774.4
 1919 11  761.2
 1919 12  326.4
 1920  1 1167.2
 1920  2  553.0
 1920  3 1416.0
 1920  4  327.8
 1920  5  301.4
 1920  6  539.2
 1920  7  407.1
 1920  8  183.6
 1920  9  851.6
 1920 10  617.6
 1920 11  603.4
 1920 12  439.2
 1921  1  490.7
 1921  2  318.0
 1921  3  392.6
 1921  4  448.6
 1921  5  604.0
 1921  6  387.4
 1921  7  577.4
 1921  8  270.8
 1921  9  332.9
 1921 10  310.6
 1921 11  505.4
 1921 12  397.0
 1922  1   90.5
 1922  2  493.0
 1922  3 1235.9
 1922  4   85.4
 1922  5  123.8
 1922  6   16.1
 1922  7  116.8
 1922  8   86.6
 1922  9   57.5
 1922 10   63.5
 1922 11  176.3
 1922 12  478.1
 1923  1   93.5
 1923  2    1.8
 1923  3   16.0
 1923  4   30.4
 1923  5   19.5
 1923  6   73.6
 1923  7   29.3
 1923  8    1.7
 1923  9  134.4
 1923 10  117.2
 1923 11  112.7
 1923 12   25.8
 1924  1    1.7
 1924  2   68.0
 1924  3   33.3
 1924  4  148.5
 1924  5  246.8
 1924  6  427.0
 1924  7  358.5
 1924  8  360.3
 1924  9  422.8
 1924 10  468.5
 1924 11  608.4
 1924 12  192.3
 1925  1   36.2
 1925  2  313.6
 1925  3  231.0
 1925  4  311.8
 1925  5  703.2
 1925  6  648.3
 1925  7  426.1
 1925  8  473.7
 1925  9  759.7
 1925 10 1304.9
 1925 11 1432.5
 1925 12 3259.9
 1926  1 2695.0
 1926  2 1915.8
 1926  3 1272.8
 1926  4  469.0
 1926  5 1085.9
 1926  6 1277.2
 1926  7  842.5
 1926  8  874.5
 1926  9 1216.3
 1926 10 1418.6
 1926 11  650.3
 1926 12 1439.9
 1927  1 1810.0
 1927  2 1364.8
 1927  3  902.3
 1927  4 1379.0
 1927  5  967.3
 1927  6  873.6
 1927  7  811.8
 1927  8 1030.1
 1927  9 1173.1
 1927 10  819.3
 1927 11  975.2
 1927 12  623.1
 1928  1 1509.2
 1928  2 1146.2
 1928  3 1694.3
 1928  4 1368.1
 1928  5 1243.1
 1928  6 1358.9
 1928  7 1936.4
 1928  8 1331.9
 1928  9 2213.5
 1928 10  992.5
